,resolution_number,date,size,issue,legislation,outcome,text,contract,acuerdo_marco
929,0681/2017,2017-07-27,422.46,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Acreditacion de la solvencia tecnica.  Pliego ""lex contractus"".  Las exigencias documentales de los pliegos no pueden ser sustituidas por la voluntad del licitador. ",Suministro,False
930,0703/2017,2017-07-27,651.62,Adjudicacion,TRLCSP,Inadmision y Desestimacion," Inadmision y desestimacion.  Inadmision del recurso por falta de objeto.  Recurso contra puntuacion no es un acto de tramite cualificado.  Desestimacion del recurso.  Justificacion de anormalidad.  No se dan argumentos por el licitador.  Argumentacion reforzada del organo de contratacion.  Procederia la exclusion y no la puntuacion 0, pero en aras de la economia procedimental se desestima sin mas ya que el resultado seria el mismo.  Desestimacion del recurso.  Error material o de hecho, no de entidad suficiente para motivar la exclusion.  Subsanacion de errores materiales o de hecho en la oferta economica.  Resto de argumentos carecen de la mas minima justificacion o desarrollo de como incidirian en la puntuacion obtenida. ",Servicios,False
931,0682/2017,2017-07-27,376.07,Adjudicacion,TRLCSP,Inadmision," Inadmision.  El adjudicatario alega incumplimientos del pliego de prescripciones tecnicas por parte del recurrente que, estimados por el Tribunal, determinan su falta de legitimacion.  No se trata de una “reformatio in pejus”, sino del ejercicio del derecho de defensa. ",Suministro,False
932,0680/2017,2017-07-27,381.92,Pliegos,TRLCSP,Estimacion," Estimacion.  Criterios de valoracion de las ofertasrelativos a aspectos de las empresas licitadoras, que son discriminatorios porque solo los pueden obtener restaurantes y hoteles: premios y distinciones obtenidos por las empresas licitadoras.  Inadmisibilidad por estar el criterioreferido a las licitadoras y por ello con las caracteristicas de la empresa, yno al concreto personal ofertado para la ejecucion de la prestacion.  Ademas, es discriminatorio por la razon indicada, salvo que el criterio se refiera al concreto personal ofertado. ",Servicios,False
933,0683/2017,2017-07-27,530.57,Exclusion,TRLCSP,Desestimacion," Desestimacion.  Acreditacion insuficiente de la aportacion de medios personales por el licitador primer clasificado, doctrina del tribunal.  Procedencia de que los titulos academicos extranjeros extracomunitarios se hallen reconocidos validamente en España.  Aplicacion de la doctrina de la discrecionalidad tecnica a la apreciacion de la experiencia tecnica exigida al personal apartado. ",Servicios,False
934,0684/2017,2017-07-27,279.66,Pliegos,TRLCSP,Desestimacion, Desestimacion.  Legitimacion de entidades de defensa de intereses colectivos.  Division en lotes.  Transporte sanitario. ,Servicios,False
935,0685/2017,2017-07-27,450.1,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Criterios evaluables mediante juicios de valor.  No se ha traspasado los limites de la discrecionalidad tecnica.  Motivacion suficiente. ,Servicios,False
936,0686/2017,2017-07-27,288.52,Pliegos,TRLCSP,Estimacion," Estimacion.  Subrogacion obligatoria del adjudicatario en el personal de la empresa que venia prestando el servicio, basado en que el Convenio colectivo no la establece.  El pliego no puede establecer la subrogacion de manera autonoma a su prevision por el Convenio Colectivo.  Segun reconoce el organo de contratacion, el Convenio de aplicacion no preve la subrogacion, de modo que el establecerla el pliego vicia de invalidez a este.  Limitacion de la anulacion a solo la clausula y no a todo el pliego, al no haberse presentado ofertas en el procedimiento. ",Servicios,False
937,0687/2017,2017-07-27,478.74,Pliegos,TRLCSP,Desestimacion, Desestimacion.  Las coberturas de riesgos adicionales no son variantes o mejoras sino elementos cuantitativos o accesorios de un criterio de valoracion del contrato. ,Servicios,False
938,0688/2017,2017-07-27,456.42,Adjudicacion,TRLCSP,Inadmision y Desestimacion, Inadmision y desestimacion.  Falta de legitimacion para recurrir uno de los lotes impugnados.  El  no obliga a que todos los lotes de un contrato se adjudiquen simultaneamente en un solo acto. ,Servicios,False
939,0689/2017,2017-07-27,379.73,Exclusion,TRLCSP,Desestimacion," Desestimacion.  Incumplimiento requisitos de solvencia tecnica.  Exigencia de que la empresa aporte personal, con categoria de tecnico en determinada especialidad, en posesion de los titulos que acrediten la superacion de los ciclos formativos correspondientes. ",Servicios,False
940,0690/2017,2017-07-27,690.01,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Doctrina del tribunal sobre exclusion por incumplimiento del PPT y sobre valoracion tanto de los criterios evaluables mediante juicio de valor como automaticamente o mediante formula.  No hay incumplimiento del PPT, y la valoracion de los criterios se adecua a los pliegos. ",Servicios,False
941,0692/2017,2017-07-27,273.97,Pliegos,TRLCSP,Desestimacion," Desestimacion.  Rectificacion pliegos: error material.  Estado incipiente del procedimiento permite rectificar Pliegos, siempre que se conceda nuevo plazo para la presentacion de ofertas: doctrina TACRC. ",Servicios,False
942,0693/2017,2017-07-27,321.17,Pliegos,TRLCSP,Desestimacion," Desestimacion.  Las mejoras consistentes en la aportacion de dispositivos moviles con impresora, radar movil de control de velocidad y dispositivo policial de deteccion de drogas si estan relacionadas con el objeto del contrato.  La facultad de la mesa de contratacion de apreciar que las mejoras ofertadas cumplen con lo exigido se considera ajustada a Derecho. ",Servicios,False
943,0694/2017,2017-07-27,331.69,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Impugnacion de criterios no valorables mediante formulas.  Inexistencia de arbitrariedad.  Discrecionalidad tecnica de la Administracion. ,Servicios,False
944,0696/2017,2017-07-27,326.29,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Admision extraordinaria en formato papel.  Motivacion en la exclusion.  Incumplimiento de requisitos del pliego. ,Suministro,False
945,0695/2017,2017-07-27,387.95,Pliegos,TRLCSP,Estimacion, Estimacion.  No cabe limitar la prueba de la solvencia profesional y tecnica a los contratos suscritos con Administraciones Publicas analogas.  Un mismo criterio no puede emplearse simultaneamente como prueba de la solvencia y como criterio de adjudicacion. ,Servicios,False
946,0691/2017,2017-07-27,759.21,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Doctrina del tribunal sobre anticipacion de informacion en sobres anteriores al de la oferta relativa a criterios evaluables automaticamente, y exclusion por incumplimiento del PPT.  La anticipacion de la informacion no ha menoscabado la igualdad en la valoracion de las ofertas a efectos de su adjudicacion y no hay incumplimiento del PPT. ",Servicios,False
947,0704/2017,2017-07-27,340.84,"Desistimiento, Desierta, Desierto",TRLCSP,Estimacion," Estimacion.  Sibien la Mesa se constituyo para la apertura de las ofertas economicas sin la asistencia del representante de la Abogacia del Estado,no cabe por ello concluir en la nulidad del citado acto de apertura, atendido que dicho actono tiene contenido decisorio, sino de mera constancia, y quehan sido observadas las restantes garantias del mismo (al haberse celebrado con publicidad yasistencia de los restantes integrantes de la Mesa, entre ellos el representante de la Intervencion), en terminos que excluyen toda duda sobre la integridad y autenticidad de tales ofertas. ",Suministro,False
948,0697/2017,2017-07-27,325.59,Pliegos,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Servicios,False
949,0698/2017,2017-07-27,249.27,Adjudicacion,TRLCSP,Inadmision, Inadmision.  Perdida de objeto. ,Servicios,False
950,0699/2017,2017-07-27,268.74,Pliegos,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Servicios,False
951,0700/2017,2017-07-27,268.49,Adjudicacion,TRLCSP,Inadmision, Inadmision.  No SARA. ,Suministro,False
952,0701/2017,2017-07-27,299.09,Adjudicacion,TRLCSP,Inadmision, Inadmision.  Falta legitimacion.  Multa por mala fe. ,Servicios,False
953,0702/2017,2017-07-27,129.02,Pliegos,,NaN,None,NaN,False
954,0655/2017,2017-07-21,254.04,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Se fundamente el recurso sobre la base de no haber permitido el acceso al expediente y haber declarado confidenciales las propuestas tecnicas.  Solicita la nulidad de la adjudicacion y retroaccion a momento anterior para tener acceso al expediente.  Se desestima el recurso puesto que la solicitud de acceso es en momento anterior a la propuesta y el recurrente no reitera la solicitud de acceso tras la adjudicacion y antes de interponer el recurso. ,Servicios,False
955,0656/2017,2017-07-21,150.2,Exclusion,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Servicios,False
956,0657/2017,2017-07-21,200.31,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  La justificacion de la oferta resulta insuficiente, motivacion reforzada de la resolucion del rechazo de la justificacion: la exclusion por oferta desproporcionada deba considerarse acertada. ",Obras,False
957,0660/2017,2017-07-21,236.74,Pliegos,LCSE,Desestimacion," Desestimacion.  Presupuesto de licitacion criterio tecnico cuya discusion requiere de una prueba manifiesta del erro, no vincula al organo de contratacion los salarios fijados en convenio colectivo, competencia del tribunal para conocer de cuestiones que no afectan a la preparacion y adjudicacion del contrato sino a su ejecucion y extincion: responsabilidad del contratista, regimen de prorrogas, garantia por incumplimiento, derecho a reservar la adjudicacion, limites del tribunal para la proteccion de infracciones del derecho de la competencia. ",Servicios,False
958,0678/2017,2017-07-21,143.57,Exclusion,TRLCSP,Estimacion," Estimacion.  La recurrente, cuya oferta se encontraba incursa en presuncion de temeridad, se considera que justifica su ahorro y bajos costes, pero debe subsanar defectos formales de la justificacion apreciados por el organo de contratacion. ",Servicios,False
959,0661/2017,2017-07-21,255.0,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Discrecionalidad de las valoraciones tecnicas de las ofertas.  Posibilidad de solicitar aclaraciones de la oferta tecnica y economica con el limite de la inmodificabilidad de la oferta. ,Servicios,False
960,0662/2017,2017-07-21,114.9,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Error en la valoracion de la oferta del que a su vez deduce el incumplimiento por la oferta de las caracteristicas tecnicas del PPT.  El errordenunciado no es tal error y en todo caso el incumpliendo que denuncia ha de referirsea la fase de ejecucion del contrato. ,Servicios,False
961,0677/2017,2017-07-21,422.45,Pliegos,TRLCSP,NaN,", ambas exigibles a los licitadores.  La experiencia adicional se configura como criterio de adjudicacion al afectar a la calidad de la prestacion. ",Servicios,False
962,0658/2017,2017-07-21,161.87,Adjudicacion,TRLCSP,Estimacion, Estimacion.  Interpretacion de las reglas contenidas en el pliego sobre adjudicacionde un solo lote a los licitadores salvo que en otros lotes no haya licitadores.  Criterios de interpretacion de los contratos del Codigo Civil. Prevalencia del criterio de interpretacion literal si no existe contradiccion con la finalidad perseguida por las partes. ,Servicios,False
963,0659/2017,2017-07-21,114.25,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Ejecucion de la resolucion anterior del Tribunal.  Emision de un nuevo informe de valoracion tecnica debidamente motivado. ,Servicios,False
964,0663/2017,2017-07-21,132.58,Pliegos,TRLCSP,Estimacion, Estimacion.  Clausulas sociales: vinculacion al objeto del contrato.  Obligacion de los licitadores de asumir las retribuciones del convenio colectivo nacional durante la vida del contrato.  Anulacion. ,Servicios,False
965,0664/2017,2017-07-21,145.85,Exclusion,LCSE,Desestimacion, Desestimacion.  Constitucion dos avales como garantia provisional de los cuales uno de ellos solo lo era a favor de una de la empresas que se comprometen a constituir una UTE.  Se desestima: la garantia provisional debe quedar validamente constituida a favor de todas las empresas de la UTE con anterioridad a la finalizacion del plazo de presentacion de las ofertas.  No se admite la subsanacion posterior. ,Servicios,False
966,0665/2017,2017-07-21,237.6,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Ofertas anormales o desproporcionadas.  Baja considerable.  Justificacion insuficiente.  Desestimacion. ,Servicios,False
967,0666/2017,2017-07-21,94.35,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Se pretende que se compruebe la viabilidad de las ofertas, aunque no sean temerarias, para el cumplimiento del convenio estatal que se han comprometido a aplicar. Se desestima el recurso porque la aplicacion del convenio es una cuestion relativa a la ejecucion del contrato, no del proceso de licitacion.  Se impone una multa de 1. 119,48 € por la falta de fundamento del recurso y el interes de la recurrente (actual prestadora del servicio) por demorar la entrada de un nuevo adjudicatario. ",Servicios,False
968,0667/2017,2017-07-21,135.35,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Oferta desproporcionada.  El recurrente no justifica suficientemente el ahorro y la reduccion de costes de su oferta economica. ,Suministro,False
969,0668/2017,2017-07-21,132.38,Pliegos,TRLCSP,Desestimacion," Desestimacion.  La documentacion adicional no impone una obligacion de subrogacion de los trabajadores, sino que se limita a informar conforme al art.  120 . ",Servicios,False
970,0669/2017,2017-07-21,134.11,Exclusion,TRLCSP,Estimacion, Estimacion.  Oferta no incursa en presuncion de temeridad.  Para evaluar tal circunstancia debe tenerse en cuenta el conjunto de la oferta economica y no el precio de cada componente del servicio a prestar. ,Servicios,False
971,0670/2017,2017-07-21,72.17,Adjudicacion,,NaN,None,NaN,False
972,0671/2017,2017-07-21,87.77,Pliegos,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Servicios,False
973,0672/2017,2017-07-21,118.46,Pliegos,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Servicios,False
974,0673/2017,2017-07-21,89.34,Pliegos,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Suministro,False
975,0674/2017,2017-07-21,73.13,Adjudicacion,TRLCSP,Inadmision, Inadmision.  No SARA. ,Suministro,False
976,0675/2017,2017-07-21,112.45,Pliegos,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Suministro,False
977,0676/2017,2017-07-21,65.64,Adjudicacion,TRLCSP,Inadmision, Inadmision.  No SARA. ,Suministro,False
978,0641/2017,2017-07-14,181.73,Adjudicacion,TRLCSP,NaN,", excluyendo a las empresas que resultan excluidas en una fase posterior.  La formula de valoracion economica aplicada incumple el PCAP. ",Servicios,False
979,0629/2017,2017-07-14,159.79,Adjudicacion,,NaN,None,Servicios,False
980,0646/2017,2017-07-14,165.43,Adjudicacion,,NaN,None,Servicios,False
981,0644/2017,2017-07-14,453.22,"Desistimiento, Desierta, Desierto",TRLCSP,NaN,", que no se puede calificar como tal.  Tambien existen contradicciones entre algunos de los criterios tecnicos objetivos evaluables mediante formulas, y el documento denominado “Encuesta” en el que los licitadores debian reflejar los aspectos a valorar. ",Suministro,False
982,0630/2017,2017-07-14,109.84,Exclusion,,NaN,None,Suministro,True
983,0631/2017,2017-07-14,164.21,Pliegos,TRLCSP,Inadmision," Inadmision.  El recurrente alega que se trata de un contrato de servicios, debiendose atender a la verdadera naturaleza del mismo, prescindiendose de la calificacion que del pliego se haga en los pliegos.  Se considera que existe traslado del riesgo al contratista, y por tanto se trata de un contrato de gestion de servicios publicos.  Procede su inadmision por que no concurre uno de los requisitos previstos para que estos contratos sean susceptibles de este recurso especial: el plazo de duracion de duracion es superior a cinco años, pero los gastos de establecimiento no superan la cuantia minima de 500. 000 euros. ",Servicios,False
984,0632/2017,2017-07-14,121.22,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Criterios sometidos a juicio de valor.  Discrecionalidad tecnica del organo de contratacion.  Doctrina del tribunal sobre exclusion de los licitadores por incumplimiento del PPT.  No queda acreditado que la oferta del adjudicatario no se ajuste a las exigencias del PPT.  No procede el desistimiento del procedimiento de contratacion que es un acto discrecional del organo de contratacion. ,Suministro,False
985,0647/2017,2017-07-14,219.53,Exclusion,TRLCSP,NaN,", de modo que no puede compararse con el resto de ofertas.  El precio total ofertado no guarda correspondencia con los precios unitarios anuales, y no puede determinarse cual es el precio aplicable",Servicios,False
986,0633/2017,2017-07-14,151.22,Exclusion,,NaN,None,Servicios,False
987,0654/2017,2017-07-14,310.47,Adjudicacion,TRLCSP,Desestimacion," Desestimacion. Introduccion de subcriterios e introduccion de metodologia, sus limites; se desestima. Criterios sometidos a juicio de valor, discrecionalidad tecnica del organo de contratacion, doctrina del Tribunal; se desestima; valoracion correcta de oferta de la adjudicatariapor un subcriterio consistente en ofertar mayor numero de maquinas elevadoras que el minimo exigido. ",Servicios,False
988,0634/2017,2017-07-14,285.52,Adjudicacion,LCSE,NaN,", doctrina TACRC.  Incumplimiento del pliego de prescripciones tecnicas.  No se acredita. ",Servicios,False
989,0648/2017,2017-07-14,282.02,Pliegos,,NaN,None,Servicios,False
990,0649/2017,2017-07-14,207.65,Pliegos,,NaN,None,Servicios,False
991,0642/2017,2017-07-14,134.64,Exclusion,,Desestimacion,None,Suministro,False
992,0636/2017,2017-07-14,161.22,Adjudicacion,,Inadmision y Desestimacion,None,NaN,True
993,0651/2017,2017-07-14,167.36,Exclusion,,NaN,None,Servicios,False
994,0637/2017,2017-07-14,152.03,Adjudicacion,,Desestimacion,None,Servicios,True
995,0638/2017,2017-07-14,196.4,Pliegos,,Desestimacion,None,Servicios,False
996,0645/2017,2017-07-14,97.48,Pliegos,TRLCSP,NaN,NaN,Gestion de servicios publicos,False
997,0653/2017,2017-07-14,128.67,Exclusion,,NaN,None,Servicios,False
998,0639/2017,2017-07-14,84.65,Pliegos,TRLCSP,NaN,NaN,Servicios,False
999,0643/2017,2017-07-14,113.18,Exclusion,,NaN,None,Servicios,False
1000,0640/2017,2017-07-14,85.89,Pliegos,,NaN,None,Servicios,False
1001,0652/2017,2017-07-14,225.33,NaN,,Inadmision,None,Servicios,False
1002,0650/2017,2017-07-14,130.63,Adjudicacion,,NaN,None,Servicios,False
1003,0620/2017,2017-07-07,102.21,Exclusion,,NaN,None,Servicios,False
1004,0601/2017,2017-07-07,318.77,Adjudicacion,TRLCSP,Estimacion Parcial," Estimacion parcial.  Oferta con valores anormales o desproporcionados, doctrina del Tribunal.  Informe tecnico del organo de contratacion insuficiente para estimar inviable la oferta, falta de justificacion reforzada.  No procede acordar la adjudicacion a favor del recurrente: retroaccion de actuaciones. ",Servicios,False
1005,0626/2017,2017-07-07,168.16,Pliegos,,NaN,None,Servicios,False
1006,0621/2017,2017-07-07,225.85,Pliegos,,NaN,None,Suministro,False
1007,0605/2017,2017-07-07,133.86,Adjudicacion,,Desestimacion,None,Suministro,False
1008,0606/2017,2017-07-07,166.43,"Desistimiento, Desierta, Desierto",,NaN,None,Suministro,False
1009,0607/2017,2017-07-07,66.16,Adjudicacion,,NaN,None,Suministro,False
1010,0608/2017,2017-07-07,328.39,Exclusion,,Desestimacion,None,Suministro,True
1011,0609/2017,2017-07-07,98.68,Adjudicacion,,NaN,None,Suministro,False
1012,0610/2017,2017-07-07,169.73,Exclusion,,NaN,None,Suministro,False
1013,0611/2017,2017-07-07,229.95,Adjudicacion,TRLCSP,NaN,", inadmision.  Igualmente se inadmite el recurso en cuanto se dirige implicitamente contra la propuesta de adjudicacion de otro lote, por ser un acto de tramite no recurrible.  Desestimacion del resto del recurso pues no existe la obligacion legal de que el acto de adjudicacion de los lotes se adopte simultanea y acumuladamente en un solo acto. ",Obras,False
1014,0622/2017,2017-07-07,150.62,Exclusion,,NaN,None,NaN,False
1015,0612/2017,2017-07-07,129.23,Exclusion,TRLCSP,Desestimacion, Desestimacion.  Forma y plazo de presentacion de las proposiciones.  Pliegos lex contractus.  Presentacion fuera de plazo.  Exclusion correcta. ,Servicios,False
1016,0623/2017,2017-07-07,128.69,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Funcion revisora del TACRC.  Se recurre la adjudicacion a una oferta incursa en presuncion de temeridad y que el informe tecnico habia considerado que no habia razones suficientes para rechazarla.  Justificacion suficiente de la oferta y asi lo entendio tambien la mesa de contratacion. ,Servicios,False
1017,0603/2017,2017-07-07,167.95,Pliegos,TRLCSP,NaN,NaN,Servicios,False
1018,0613/2017,2017-07-07,80.32,NaN,,NaN,None,Servicios,False
1019,0627/2017,2017-07-07,147.04,Adjudicacion,,NaN,None,Servicios,False
1020,0614/2017,2017-07-07,200.27,Exclusion,,Desestimacion,None,Servicios,False
1021,0615/2017,2017-07-07,66.92,Adjudicacion,,NaN,None,Obras,False
1022,0616/2017,2017-07-07,82.25,Pliegos,,NaN,None,NaN,False
1023,0617/2017,2017-07-07,75.01,Adjudicacion,,NaN,None,Servicios,False
1024,0618/2017,2017-07-07,65.67,Adjudicacion,,NaN,None,Suministro,False
1025,0624/2017,2017-07-07,424.74,Pliegos,,NaN,None,Servicios,False
1026,0602/2017,2017-07-07,216.5,Exclusion,,NaN,None,Servicios,False
1027,0628/2017,2017-07-07,172.28,Adjudicacion,,NaN,None,Servicios,False
1028,0604/2017,2017-07-07,151.08,Adjudicacion,,NaN,None,Servicios,False
1029,0619/2017,2017-07-07,206.16,Pliegos,TRLCSP,NaN,", sin limite maximo.  Criterio de valoracion: “Plan de trabajo”. ",Servicios,False
1030,0625/2017,2017-07-07,188.24,Pliegos,TRLCSP,NaN,", sin limite maximo.  Criterio de valoracion: “Plan de trabajo”. ",Servicios,False
1031,0574/2017,2017-06-30,255.79,Pliegos,TRLCSP,Desestimacion," Desestimacion.  Impugnacion clausula pliego quedetermina presupuesto base de licitacionporque no cubre costes de personalminimoa adscribir a su ejecucion; anulacion por no ajustarse a precios de mercado.  Se ha calculado con arreglo al art.  88. 5,a), , y valor actual del mismo contrato a en ejecucion, del que es repeticion en que regula el pliego recurrido. ",Servicios,False
1032,0575/2017,2017-06-30,168.76,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Acreditacion de los requisitos en tramite de adjudicacion.  Disponibilidad de medios comprometidos. ,Gestion de servicios publicos,False
1033,0577/2017,2017-06-30,102.61,Exclusion,TRLCSP,Estimacion, Estimacion.  Sucesion de licitadores e el procedimiento.  El requerimiento de subsanacion debe efectuarse a la empresa sucesora una vez que el conste a la mesa de contratacion la escision de la que presento inicialmente la oferta. ,Servicios,True
1034,0578/2017,2017-06-30,122.27,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Error manifiesto en la oferta economica del adjudicatario.  No existe mas que un error material o aritmetico que no impide conocer a verdadera voluntad del oferente sin que implique la presentacion de dos ofertas o la opcion entre dos ofertas economicas. ,Servicios,False
1035,0579/2017,2017-06-30,90.37,Pliegos,TRLCSP,Estimacion Parcial," Estimacion parcial.  De acuerdo con la doctrina reiterada, no puede exigirsecomo criterio de adjudicacion la titularidad por las empresas licitadoras de determinados certificados, que han de operar como criterios de acreditacion de la solvencia en la fase previa de seleccion. ",Servicios,False
1036,0580/2017,2017-06-30,113.61,Adjudicacion,TRLCSP,Desestimacion," Desestimacion.  Doctrina del Tribunal sobre el caracter de los pliegos como lex contractus, ymotivacion del acuerdo de adjudicacion y su notificacion por referencia a los informes que obran en el expediente.  Aplicacion de la reglade tres inversa para valorar la oferta economica, es decir, la comparacion de las ofertas en forma inversamente proporcional al precio, de forma que se otorgue la maxima puntuacion a la oferta mas baja y, al resto,la asignacion en proporcion inversa con la misma. ",Servicios,False
1037,0600/2017,2017-06-30,180.53,Pliegos,TRLCSP,Desestimacion, Desestimacion.  Legitimacion activa parcial.  Posibilidad de configurar el objeto del contratopor el organo de contratacion de forma conjunta incluyendoelementos accesorios junto con la prestacion principal.  Tanto la configuracion de objeto contractualcomo la division en lotes son competencia del organo de contratacion. ,Suministro,True
1038,0581/2017,2017-06-30,151.35,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Oferta con baja desproporcionada.  Impugnacion acuerdo de exclusion por falta de motivacion.  Justificacion insuficiente de la baja por el licitador.  Nuevas alegaciones con el recurso.  Caracter revisor del recurso especial. ,Suministro,False
1039,0582/2017,2017-06-30,94.71,Pliegos,TRLCSP,Desestimacion, Desestimacion.  Criterios de solvencia relacionados con el contrato y proporcionados. ,Servicios,False
1040,0583/2017,2017-06-30,94.08,Pliegos,TRLCSP,Desestimacion, Desestimacion.  Se impugna el PCAP por introducir un criterio de adjudicacion donde se valora el menor volumen del producto a suministrar (trampas) con un 20% del total de los puntos.  Dice la recurrente que el criterio discrimina pues solo hay una empresa registrada que ofrezca una empresa una trampa de menor tamaño.  Ya se dicto por este Tribunal una resolucion confirmando el criterio que se impugna para la adjudicacion del mismo contrato en la campaña de 2016.  Necesidad del contrato totalmente justificada. ,Servicios,False
1041,0584/2017,2017-06-30,63.69,Exclusion,TRLCSP,Desestimacion," Desestimacion.  Oferta desproporcionada.  La baja presentada, muy significativa, no se justifico minimamente. ",Servicios,False
1042,0585/2017,2017-06-30,116.68,Adjudicacion,TRLCSP,Desestimacion, Desestimacion.  Se alega vulneracion del articulo 145  en cuanto que la oferta presentada no cubre la carga salarial de los trabajadores que se deben mantener contratados.  Doctrina del Tribunal.  No hay baja temeraria. ,Servicios,False
1043,0586/2017,2017-06-30,63.71,Pliegos,TRLCSP,Inadmision, Inadmision.  Titulacion academica exigida.  Falta de legitimacion.  No basta el interes abstracto por la legalidad. ,Servicios,False
1044,0587/2017,2017-06-30,98.36,Adjudicacion,TRLCSP,Inadmision," Inadmision.  La oferta de la empresa adjudicataria, por su importe, no respeta el Convenio Colectivo de aplicacion.  Legitimacion: el recurso solo puede ser interpuesto por el clasificado en segundo lugar, salvo que invoque causa de exclusion de todos los que le precedieron en el orden de clasificacion de ofertas.  Caso planteado: el recurrente, quinto clasificado,invoca solo la necesaria exclusion de la adjudicataria, pero no asi de los clasificados antes que el. ",Servicios,False
1045,0588/2017,2017-06-30,106.79,Pliegos,TRLCSP,Estimacion," Estimacion.  Recurso contra los pliegos aplicables a un contrato de servicio de señalizacion horizontal y vertical.  Falta de indicacion en el pliego de la admision de la clasificacion como medio alternativo de acreditar la solvencia, con infraccion de los articulos 65. 1. b) del  y 46 del RGLCAP. ",Servicios,False
1046,0589/2017,2017-06-30,58.04,Pliegos,TRLCSP,Desestimacion, Desestimacion.  El precio de licitacion se considera justificado y conforme con el  y con la doctrina del Tribunal (resolucion recurso 922/2016). ,Servicios,False
1047,0590/2017,2017-06-30,62.01,Pliegos,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Servicios,False
1048,0591/2017,2017-06-30,70.57,Pliegos,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Servicios,False
1049,0592/2017,2017-06-30,65.93,Adjudicacion,TRLCSP,Inadmision, Inadmision.  Empresa estatal (NAVANTIA) no tiene condicion de poder adjudicador. ,Suministro,False
1050,0593/2017,2017-06-30,55.82,Pliegos,TRLCSP,Inadmision, Inadmision.  No SARA. ,Suministro,False
1051,0594/2017,2017-06-30,70.18,Pliegos,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Servicios,False
1052,0595/2017,2017-06-30,70.46,Pliegos,TRLCSP,Inadmision, Inadmision.  Recurso extemporaneo. ,Servicios,False
1053,0596/2017,2017-06-30,62.07,Exclusion,TRLCSP,Inadmision, Inadmision.  No SARA. ,Servicios,False
1054,0597/2017,2017-06-30,878.92,Pliegos,TRLCSP,Desestimacion, Desestimacion.  Requisitos de solvencia economica y solvencia tecnica manifiestamente suficientes para el objeto del contrato; Adscripcion de medios personales y materiales; fijacion de las tarifas maximas que hubieran de abonar los usuarios: No existe infraccion del art.  87. 1 del  y de los criterios de valoracion; Desconocimiento por el PCAP de las normas reguladoras del regimen juridico del servicio: no hay competencia del Estado de la determinacion de las tarifas; Documentacion administrativa en relacion con la sociedad que se constituya como concesionaria: no necesario determinar a priori plazo expreso; Indeterminacion del objeto del contrato de concesion en relacion con el riesgo y ventura que debe asumir la sociedad concesionaria segun la clausula 10 PCAP. ,Gestion de servicios publicos,False
1055,0598/2017,2017-06-30,166.69,Adjudicacion,TRLCSP,Estimacion," Estimacion.  Ausencia de notificacion de laexclusion de la oferta anormalmente baja.  Obligatoriedad de la notificacion del acto de adjudicacion a los licitadores en general y, en particular, a los excluidos. ",Servicios,False
1056,0599/2017,2017-06-30,170.89,Exclusion,TRLCSP,Estimacion, Estimacion.  No subsanacion falta de acreditacion de la solvencia economica financiera.  La empresa licitadora presento certificados de inscripcion enRegistros de Licitadores.  Este certificado acredita la solvencia exigible.  Admision directa sin necesidad de nuevo plazo de subsanacion. ,Suministro,False
